Marca temporal,¿Imparte docencia en ciclos formativos de grado medio o superior?,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
9/02/2021 9:58:16,Sí,"Grado superior, Bachillerato",Tecnología,Hombre,25-35,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Classroom,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:06:09,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:12:58,Sí,Grado medio,Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, Plataforma de aprendizaje específica de la consejería o centro.",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:13:54,Sí,Grado superior,,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 10:17:16,Sí,Grado superior,Ciencias,Mujer,25-35,0-5 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 10:27:31,Sí,Grado superior,Ciencias,Mujer,45-55,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 10:46:00,Sí,"Grado medio, Grado superior",Ciencias Sociales,Hombre,45-55,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 11:09:38,Sí,"Grado medio, Grado superior",Ciencias Sociales,Hombre,45-55,0-5 años,Un grupo para el curso completo (profesores y estudiantes),Google meet,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 11:13:38,Sí,"Grado medio, Grado superior",Ciencias Sociales,Hombre,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 11:26:17,Sí,"Grado medio, Grado superior",Ciencias Sociales,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,Gmail,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
