Agenda,ClassMaterial,Age,Experience,FAQ,Grades,Gender,"PostCOVID changes","Marca temporal",None,Other,OtherBot,Provided,Sector,Slack,"Messaging Organization",Telegram,Degrees,WhatsApp,Discipline
Yes,No,45-55,"más de 25 años",No,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:22:31",No,Yes,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",Yes,Ciencias
No,Yes,45-55,"5-15 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:24:01",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Máster,Yes,"Ciencias Sociales"
No,No,45-55,"5-15 años",Yes,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 19:24:15",No,Yes,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",No,Grado,Yes,Ciencias
Yes,Yes,45-55,"15-25 años",Yes,Yes,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 19:25:16",No,Yes,No,No,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Yes,Grado,Yes,"Ciencias Sociales"
Yes,No,45-55,"15-25 años",No,No,Hombre,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 19:55:11",No,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,Yes,"Ciencias Sociales"
No,No,35-45,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:13:11",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Doctorado,No,"Ciencias Sociales"
No,No,45-55,"más de 25 años",Yes,No,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:24:25",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Máster,Yes,"Ciencias Sociales"
No,Yes,"Más de 55","5-15 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 20:42:24",No,No,No,Yes,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Grado,No,Humanidades
No,Yes,"Más de 55","5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:46:44",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",Yes,Ciencias
Yes,Yes,25-35,"5-15 años",No,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:49:35",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",No,Grado,Yes,"Ciencias Sociales"
No,Yes,"Más de 55","0-5 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:51:20",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",Yes,Ciencias
Yes,Yes,35-45,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:54:18",No,No,No,No,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",Yes,"Ciencias Sociales"
No,No,35-45,"0-5 años",Yes,No,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:57:05",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Grado,Yes,"Ciencias Sociales"
No,No,35-45,"0-5 años",No,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 20:57:12",No,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",Yes,"Ciencias Sociales"
Yes,No,25-35,"5-15 años",Yes,Yes,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 21:03:01",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Máster,Yes,"Ciencias Sociales"
No,Yes,"Más de 55","más de 25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 21:03:28",Yes,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Máster,Yes,"Ciencias Sociales"
