AgendaBot,ClassMaterialBot,Age,Experience,FAQBot,GradesBot,Gender,"PostCOVID changes","Marca temporal",MessagingPlatformNone,MessagingPlatformOther,MessagingPlatformProvided,MessagingPlatformSlack,MessagingPlatformTelegram,MessagingPlatformWhatsApp,OtherBot,Sector,"Messaging Organization",Degrees,Discipline
No,Yes,"> 55","06-15 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","10/02/2021 20:42:24",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,Humanities
No,Yes,"> 55","06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","10/02/2021 20:46:44",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master",Sciences
Yes,Yes,25-35,"06-15 years",No,Yes,Female,"No, I did use it before, and use it now","10/02/2021 20:49:35",No,No,Yes,No,No,Yes,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,"Social Sciences"
No,Yes,"> 55","0-05 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 20:51:20",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master",Sciences
Yes,Yes,35-45,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","10/02/2021 20:54:18",No,No,No,No,No,Yes,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master","Social Sciences"
No,No,35-45,"0-05 years",Yes,No,Female,"No, I did use it before, and use it now","10/02/2021 20:57:05",No,No,No,No,Yes,Yes,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
No,No,35-45,"0-05 years",No,Yes,Male,"No, I did use it before, and use it now","10/02/2021 20:57:12",No,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master","Social Sciences"
Yes,No,25-35,"06-15 years",Yes,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","10/02/2021 21:03:01",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Master,"Social Sciences"
No,Yes,"> 55","> 25 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 21:03:28",Yes,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Master,"Social Sciences"
No,Yes,45-55,"06-15 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 21:04:31",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,"Social Sciences"
Yes,Yes,35-45,"0-05 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 21:07:18",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course, A chat with all the students and teachers in my Faculty/School, A chat with all students and teachers in the same semester/year",Undergrad,Engineering
Yes,Yes,"> 55","> 25 years",Yes,Yes,Female,"No, I did use it before, and use it now","10/02/2021 21:34:34",No,Yes,No,No,No,No,No,University,"A chat with all students and teachers in the same semester/year","Non-official degree",Sciences
Yes,No,45-55,"06-15 years",No,No,Male,"No, I didn't use it before, and don't use it now","10/02/2021 21:52:53",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
No,Yes,35-45,"06-15 years",Yes,Yes,Male,"Yes, I use a safer messaging app now","11/02/2021 4:19:23",No,Yes,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Sciences
Yes,No,45-55,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","11/02/2021 5:09:57",No,Yes,No,No,No,Yes,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,"Social Sciences"
Yes,No,35-45,"06-15 years",No,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","11/02/2021 8:09:40",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
Yes,Yes,35-45,"06-15 years",No,No,Male,"He intensificado el uso.","11/02/2021 11:07:16",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD, Non-official degree",Engineering
Yes,No,45-55,"16-25 years",Yes,No,Male,"Sí, me ha hecho tener que usar las herramientas con más frecuencia, y extender mi conocimiento de las herramientas disponibles.","11/02/2021 12:55:26",No,Yes,No,Yes,No,No,No,University,"A chat with my students in the same course","Undergrad, PhD, Non-official degree",Engineering
Yes,No,35-45,"06-15 years",No,Yes,Female,"No, I did use it before, and use it now","11/02/2021 14:36:37",No,No,No,No,Yes,No,No,University,"A chat with my students in the same course, A chat with all the students and teachers in my Faculty/School","Undergrad, Master","Social Sciences"
Yes,Yes,25-35,"06-15 years",No,No,Female,"No, I did use it before, and use it now","11/02/2021 15:29:23",No,Yes,No,No,Yes,Yes,No,University,"A chat with my students in the same course, I'd rather leave students self-organize and not be part of the chat, A chat with all the students and teachers in my Faculty/School, A chat with all students and teachers in the same semester/year",Undergrad,Engineering
Yes,No,25-35,"0-05 years",No,Yes,Male,"No, I didn't use it before, and don't use it now","11/02/2021 18:58:55",No,No,Yes,No,Yes,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, PhD",Engineering
Yes,No,35-45,"16-25 years",No,Yes,Male,"No, I did use it before, and use it now","11/02/2021 19:01:56",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
Yes,No,35-45,"06-15 years",No,Yes,Male,"No, I did use it before, and use it now","11/02/2021 19:07:15",No,Yes,Yes,No,No,Yes,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,Sciences
Yes,Yes,25-35,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","11/02/2021 19:32:28",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
Yes,Yes,25-35,"0-05 years",No,Yes,Male,"No, I did use it before, and use it now","11/02/2021 19:51:00",No,No,Yes,Yes,Yes,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
No,Yes,35-45,"0-05 years",Yes,No,Male,"No, I did use it before, and use it now","11/02/2021 19:52:53",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
No,No,35-45,"0-05 years",Yes,No,Male,"No, I did use it before, and use it now","11/02/2021 21:08:45",No,No,Yes,No,Yes,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
Yes,No,35-45,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","11/02/2021 22:44:14",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad, Master, PhD",Engineering
